UF_CRM_1660043118613	DEAL	string	—
UF_CRM_1660535141	DEAL	string	—
UF_CRM_1660644640	DEAL	string	—
UF_CRM_1660888065753	DEAL	string	—
UF_CRM_1661764685	DEAL	string	—
UF_CRM_1662629293	DEAL	string	ФИО клиента
UF_CRM_1662721064	DEAL	string	—
UF_CRM_1662956961	DEAL	string	—
UF_CRM_1663658772	DEAL	string	—
UF_CRM_1663660947	DEAL	string	—
UF_CRM_1663674513	DEAL	string	—
UF_CRM_1663674681	DEAL	string	—
UF_CRM_1663737776	DEAL	string	—
UF_CRM_1664431613	DEAL	string	—
UF_CRM_1664529814	DEAL	string	—
UF_CRM_1664530057	DEAL	string	—
UF_CRM_1664530081	DEAL	string	—
UF_CRM_1664530244	DEAL	string	—
UF_CRM_1664775392	DEAL	url	Ссылка на сделку в оформлении
UF_CRM_1664775472	DEAL	url	Ссылка на сделку в продажах
UF_CRM_1664792607	DEAL	integer	ID сделки в оформлении
UF_CRM_1664792769	DEAL	integer	ID сделки (продажи)
UF_CRM_1664969607	DEAL	string	—
UF_CRM_1666157549	DEAL	string	—
UF_CRM_1668572647	DEAL	string	Животные (портрет)
UF_CRM_1674214850	DEAL	string	—
UF_CRM_1676357023	DEAL	string	—
UF_CRM_1679476064	DEAL	string	—
UF_CRM_1683805668	DEAL	string	—
UF_CRM_1684153610	DEAL	string	—
UF_CRM_1684326063958	DEAL	string	—
UF_CRM_1684412549	DEAL	string	—
UF_CRM_1684753562	DEAL	string	—
UF_CRM_1684845420	DEAL	string	—
UF_CRM_1685943769	DEAL	enumeration	Тип регистрации (портрет)
UF_CRM_1686043236	DEAL	string	—
UF_CRM_1689224441	DEAL	string	—
UF_CRM_1689316871842	DEAL	string	—
UF_CRM_1690960836	DEAL	string	—
UF_CRM_1692183647	DEAL	string	—
UF_CRM_1693308309392	DEAL	string	—
UF_CRM_1693540108	DEAL	string	—
UF_CRM_1693553546	DEAL	string	—
UF_CRM_1693553595	DEAL	string	—
